Time,Body,RA,Dec,Distance_AU,Altitude_deg,Azimuth_deg
2025-10-05 16:58:45,Saturn,23h 53m 09.19s,"-03deg 28' 36.9""",8.5782924186556,-2.258502558132102,92.51617568503627
2025-10-05 16:58:45,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.827132075237326,-13.602581199962499,29.02937907120088
2025-10-05 16:58:45,Neptune,00h 02m 25.03s,"-01deg 14' 10.5""",28.909626584784082,-1.9459660817137188,89.30819132980656
2025-10-05 16:58:45,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02921301933655,8.793517502863672,147.5430325821413
2025-10-05 16:58:55,Sun,12h 45m 26.37s,"-04deg 52' 47.8""",0.9998926962699428,3.745033605083727,257.0976062593393
2025-10-05 16:58:55,Moon,23h 31m 43.83s,"-02deg 35' 45.2""",0.0024503362944990085,0.7852916565434312,96.19070970415306
2025-10-05 16:58:55,Mercury,13h 43m 35.71s,"-11deg 26' 03.5""",1.337139618882893,6.89561002173918,241.53939898766896
2025-10-05 16:58:55,Venus,11h 23m 37.98s,"+05deg 25' 39.9""",1.5254336354479403,-0.8017284989767027,279.5319248379357
2025-10-05 16:58:55,Mars,14h 25m 10.93s,"-14deg 31' 35.9""",2.3670527487669415,9.675447947181228,231.21085891121874
2025-10-05 16:58:55,Jupiter,07h 37m 50.80s,"+21deg 33' 47.2""",5.264490532927248,-13.605122971699847,335.54927759831173
2025-10-05 16:58:55,Saturn,23h 53m 09.19s,"-03deg 28' 36.9""",8.578292925178067,-2.2323847777839605,92.54901110092801
2025-10-05 16:58:55,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.827130598862382,-13.589888075281872,29.067781389216883
2025-10-05 16:58:55,Neptune,00h 02m 25.03s,"-01deg 14' 10.5""",28.909627037975085,-1.9198260504510047,89.34107724541732
2025-10-05 16:58:55,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02921499233539,8.807539622700626,147.57932117967087
2025-10-05 16:59:27,Sun,12h 45m 26.45s,"-04deg 52' 48.3""",0.9998925888731304,3.663606576596777,257.20359937383176
2025-10-05 16:59:27,Moon,23h 31m 44.97s,"-02deg 35' 36.0""",0.0024503249869179977,0.8675088394072779,96.29082285035311
2025-10-05 16:59:27,Mercury,13h 43m 35.84s,"-11deg 26' 04.3""",1.3371367372462941,6.822148521296919,241.64876294865354
2025-10-05 16:59:27,Venus,11h 23m 38.09s,"+05deg 25' 39.3""",1.525435149382631,-0.8840496278123955,279.6368310914752
2025-10-05 16:59:27,Mars,14h 25m 10.99s,"-14deg 31' 36.2""",2.3670535573236764,9.610270067691784,231.32463817480354
2025-10-05 16:59:27,Jupiter,07h 37m 50.81s,"+21deg 33' 47.1""",5.26448488626351,-13.639643862691717,335.6728334408037
2025-10-05 16:59:27,Saturn,23h 53m 09.18s,"-03deg 28' 37.0""",8.578294545333938,-2.1488506954451214,92.65403599652913
2025-10-05 16:59:27,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.8271258766455,-13.5491859063926,29.190562662405863
2025-10-05 16:59:27,Neptune,00h 02m 25.03s,"-01deg 14' 10.5""",28.90962848754843,-1.8362151647653397,89.44625972127449
2025-10-05 16:59:27,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02922130304704,8.852295951108097,147.6954378205592
2025-10-05 16:59:37,Sun,12h 45m 26.48s,"-04deg 52' 48.4""",0.9998925552359557,3.6380961942591354,257.236789512705
2025-10-05 16:59:37,Moon,23h 31m 45.32s,"-02deg 35' 33.1""",0.0024503214455629018,0.8932569799731132,96.32218235295933
2025-10-05 16:59:37,Mercury,13h 43m 35.88s,"-11deg 26' 04.6""",1.3371358346906408,6.79912450009814,241.6830022187108
2025-10-05 16:59:37,Venus,11h 23m 38.12s,"+05deg 25' 39.1""",1.5254356235532054,-0.9098277772668394,279.6696928360462
2025-10-05 16:59:37,Mars,14h 25m 11.01s,"-14deg 31' 36.3""",2.367053810566376,9.589834734315131,231.3602573168535
2025-10-05 16:59:37,Jupiter,07h 37m 50.82s,"+21deg 33' 47.1""",5.264483117699201,-13.65042220295146,335.7115454296477
2025-10-05 16:59:37,Saturn,23h 53m 09.18s,"-03deg 28' 37.0""",8.578295052783167,-2.122688853218179,92.6869302745081
2025-10-05 16:59:37,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.827124397629408,-13.53640561111452,29.229002736986413
2025-10-05 16:59:37,Neptune,00h 02m 25.03s,"-01deg 14' 10.5""",28.909628941570336,-1.810027502428651,89.47920211835579
2025-10-05 16:59:37,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02922327959588,8.866284404369457,147.7318206421413
2025-10-05 16:59:47,Sun,12h 45m 26.50s,"-04deg 52' 48.6""",0.9998925215501101,3.61254553867366,257.2700241651443
2025-10-05 16:59:47,Moon,23h 31m 45.68s,"-02deg 35' 30.2""",0.0024503178991938553,0.919041092765035,96.35358897621377
2025-10-05 16:59:47,Mercury,13h 43m 35.92s,"-11deg 26' 04.9""",1.3371349308224214,6.776059751314782,241.7172843438668
2025-10-05 16:59:47,Venus,11h 23m 38.15s,"+05deg 25' 38.9""",1.5254360984095352,-0.9356407226495536,279.70260436322366
2025-10-05 16:59:47,Mars,14h 25m 11.02s,"-14deg 31' 36.4""",2.367054064175035,9.569359656793935,231.39591986055746
2025-10-05 16:59:47,Jupiter,07h 37m 50.82s,"+21deg 33' 47.1""",5.264481346574292,-13.661199986219644,335.75031998647285
2025-10-05 16:59:47,Saturn,23h 53m 09.18s,"-03deg 28' 37.0""",8.578295560970938,-2.0964898480085177,92.71987217185084
2025-10-05 16:59:47,Uranus,03h 54m 34.37s,"+20deg 05' 52.1""",18.82712291647513,-13.523591450714244,29.2674909756878
2025-10-05 16:59:47,Neptune,00h 02m 25.03s,"-01deg 14' 10.5""",28.90962939625345,-1.7838017960855366,89.51219161379734
2025-10-05 16:59:47,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02922525900705,8.880279012834507,147.76826306327388
2025-10-05 16:59:58,Sun,12h 45m 26.53s,"-04deg 52' 48.8""",0.999892487973855,3.587074669063166,257.3031472116756
2025-10-05 16:59:58,Moon,23h 31m 46.04s,"-02deg 35' 27.3""",0.0024503143644722847,0.9447400356920226,96.38489517418434
2025-10-05 16:59:58,Mercury,13h 43m 35.96s,"-11deg 26' 05.2""",1.3371340298881769,6.75306266667892,241.7514482889336
